time,veh,activation
4320,19670,1
4320,19697,1
4320,19703,1
4320,19730,1
4320,19748,1
4320,19792,1
4320,19798,1
4320,19802,1
4320,19821,1
4320,19851,1
4320,19885,1
4320,19896,1
4320,19910,1
4320,19921,1
4320,19944,1
4320,19950,1
4320,20061,1
4320,20085,1
4320,20086,1
4320,20130,1
4320,20134,1
4320,20150,1
4320,20155,1
4320,20161,1
4320,20174,1
4320,20197,1
4320,20239,1
4320,20263,1
4320,20258,1
4320,20280,1
4320,20319,1
4320,20353,1
4320,20363,1
4320,20373,1
4320,20390,1
4320,20403,1
4321,20466,1
4325,20482,1
4325,20485,1
4328,20503,1
4328,20506,1
4337,20555,1
4338,20559,1
4342,20585,1
4349,20603,1
4350,20607,1
4351,20616,1
4352,20623,1
4354,20631,1
4356,20638,1
4358,20646,1
4367,20687,1
4368,20690,1
4368,20692,1
4370,20702,1
4371,20709,1
4373,20715,1
4382,20764,1
4384,20772,1
4385,20780,1
4386,20781,1
4387,20788,1
4396,20829,1
4400,20844,1
4404,20850,1
4407,20871,1
4408,20879,1
4410,20887,1
4412,20897,1
4414,20904,1
4421,20947,1
4421,20949,1
4422,20956,1
4426,20974,1
4432,21008,1
4446,21062,1
4447,21068,1
4447,21069,1
4454,21105,1
4455,21114,1
4456,21115,1
4458,21130,1
4471,21185,1
4475,21204,1
4479,21219,1
4481,21228,1
4483,21237,1
4485,21247,1
4485,21248,1
4485,21251,1
4494,21287,1
4495,21292,1
4498,21319,1
4499,21320,1
4500,16639,1
4500,17742,1
4500,18002,1
4500,18029,1
4500,18341,1
4500,18425,1
4500,18502,1
4500,18549,1
4500,18611,1
4500,18623,1
4500,18700,1
4500,18724,1
4500,19164,1
4500,19180,1
4500,19253,1
4500,19287,1
4500,19302,1
4500,19316,1
4500,19323,1
4500,19329,1
4500,19350,1
4500,19357,1
4500,19363,1
4500,19404,1
4500,19406,1
4500,19442,1
4500,19458,1
4500,19463,1
4500,19467,1
4500,19514,1
4500,19574,1
4500,19638,1
4500,19681,1
4500,19707,1
4500,19726,1
4500,19796,1
4500,19804,1
4500,19864,1
4500,19867,1
4500,19873,1
4500,19918,1
4500,19956,1
4500,20031,1
4500,20057,1
4500,20060,1
4500,20102,1
4500,20105,1
4500,20128,1
4500,20171,1
4500,20191,1
4500,20214,1
4500,20262,1
4500,20276,1
4500,20301,1
4500,20354,1
4500,20356,1
4500,20418,1
4500,20433,1
4500,20436,1
4500,20470,1
4500,20513,1
4500,20551,1
4500,20605,1
4500,20609,1
4500,20614,1
4500,20619,1
4500,20625,1
4500,20631,1
4500,20639,1
4500,20659,1
4500,20674,1
4500,20681,1
4500,20710,1
4500,20712,1
4500,20722,1
4500,20734,1
4500,20757,1
4500,20759,1
4500,20772,1
4500,20791,1
4500,20795,1
4500,20829,1
4500,20879,1
4500,20892,1
4500,20893,1
4500,20922,1
4500,20929,1
4500,20932,1
4500,20940,1
4500,21052,1
4500,21101,1
4500,21121,1
4500,21122,1
4500,21142,1
4500,21147,1
4500,21159,1
4500,21171,1
4500,21186,1
4500,21197,1
4500,21203,1
4500,21204,1
4500,21215,1
4500,21209,1
4500,21232,1
4500,21233,1
4500,21280,1
4500,21289,1
4500,21292,1
4500,21308,1
4500,21323,1
4502,21337,1
4503,21350,1
4511,21402,1
4517,21426,1
4519,21432,1
4523,21452,1
4529,21486,1
4538,21536,1
4545,21573,1
4547,21580,1
4549,21589,1
4552,21610,1
4572,21692,1
4573,21699,1
4574,21701,1
4576,21713,1
4580,21724,1
4581,21727,1
4582,21730,1
4588,21759,1
4589,21763,1
4593,21776,1
4595,21787,1
4598,21808,1
4599,21810,1
4599,21812,1
4599,21816,1
4603,21830,1
4604,21838,1
4605,21846,1
4607,21857,1
4610,21872,1
4616,21896,1
4616,21898,1
4616,21901,1
4617,21903,1
4618,21915,1
4618,21916,1
4619,21918,1
4620,21924,1
4621,21925,1
4622,21930,1
4624,21947,1
4625,21948,1
4632,21988,1
4634,21996,1
4639,22017,1
4640,22020,1
4643,22042,1
4644,22047,1
4665,22120,1
4669,22135,1
4669,22136,1
4675,22153,1
4678,22164,1
4679,22171,1
4680,17663,1
4680,18414,1
