sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010921411274523419,0.07012174441929613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005349695755731166,0.0,0.0,0.0,0.0,0.019799230272801616,0.07340589639714104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04474605688703699,0.0,0.0,0.0,0.0,0.04633412350631767,0.07464055080705663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07860183735509906,0.0,0.0,0.0,0.015988912567457627,0.056106963952308235,0.08154992076947237,0.0,0.0,0.0,0.05141266838921883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13312300152247936,0.034711380525735705,0.0,0.0,0.028556259221630232,0.04474903185348076,0.07115253233645617,0.0,0.0,0.0,0.10490172685455823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12238421302193842,0.18486316507395417,0.0,0.0,0.04349760638010034,0.08679719831967635,0.0076515742775049135,0.0,0.0,0.07412895668566986,0.07056228015114865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.06284470481541558,0.07667698125636475,0.29263343801261915,0.0,0.0,0.05364282194615422,0.10032719877328677,0.0028904730134183157,0.0,0.0,0.17752723962844624,0.134969431086191,0.05184653613734556,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.16090195534878904,0.06182162507411189,0.3375495882465741,0.0,0.0,0.04555218885056114,0.11685567577787213,0.050248446648945504,0.0,0.0,0.28100837205839246,0.15400703629133208,0.17889148577217162,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.14823914016633719,0.14187130491001804,0.27978918336702563,0.0,0.0,0.10817854747574983,0.128471700011307,0.11199671847016034,0.0,0.0,0.26335095921085266,0.21845048334900957,0.24152066896228908,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.26675748355571866,0.2400086643788503,0.24733229248868158,0.0,0.0,0.2324792073546167,0.1467087373106025,0.17070614150418129,0.0,0.0,0.2769291565707966,0.2315570701216958,0.3218499008980152,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3301654648307883,0.25378956664865954,0.26381563214954123,0.0,0.0,0.33768032102256457,0.1399544787398447,0.19144810343471114,0.0,0.0,0.22985093960538566,0.24898804194280677,0.37945937471436403,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3614963404717744,0.2844830668051234,0.22776391137173535,0.0,0.0,0.3880164354670424,0.16466931452010902,0.23982224561419027,0.0,0.0,0.23291007537430294,0.26857240127590515,0.45218988623378364,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3574072124890497,0.3399059947751828,0.2482752887702903,0.0,0.0,0.4174714149070676,0.2047822013928761,0.24297162728590038,0.0,0.0,0.2957276951470446,0.2637488207220941,0.502048186194248,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3884525406767638,0.3772734026011193,0.2643172618537908,0.0,0.0,0.43049397000660916,0.23504740575173833,0.33108169041403934,0.0,0.0,0.42934700945323795,0.28797023590366594,0.5572464286706655,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4599608892076071,0.42114926589409873,0.42945922702968176,0.0,0.0,0.47787156515147455,0.26041775806496004,0.4081471512503416,0.0,0.0,0.5500198097285912,0.3186737569899916,0.6219051911281661,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.44225628241369064,0.4209082965661759,0.34001595464397283,0.0,0.0,0.4808919245672244,0.24817552081018737,0.4532389140143005,0.0,0.0,0.5733391775228974,0.37296922784925013,0.6214677434754078,0.0,0.0,0.0,0.0,0.0,0.045933343777238636
0.0,0.0,0.0,0.0,0.0,0.0,0.376008284706884,0.42213827001286436,0.26255315862022366,0.0,0.0,0.4383956606073664,0.271143625205125,0.447419402322777,0.0,0.0,0.5659330779726002,0.39239937278469555,0.6177608743977161,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.33002970163867834,0.3822095226837016,0.22537180328705855,0.05571907960737646,0.0,0.43523340113727155,0.2645633946626423,0.4588847565990998,0.0,0.0,0.5247061849258395,0.4162370450984561,0.5817488315894895,0.0,0.04717424500359435,0.0,0.0,0.0,0.0
