Cpt_1,Cpt_2,Cpt_3,Cpt_4,Cpt_5,Cpt_6,Cpt_7,Cpt_8,Cpt_9
91588.28693109348,40034.52688621429,69969.56357362714,53832.140992429806,7441.238217930695,68014.35718505677,81585.82626076064,48980.5268342053,67505.10042516812
116861.82151655063,108570.44007853467,107718.08330689547,110131.24262430919,130586.49284511662,134092.34179649668,107234.41673826294,106930.81152805018,110016.27254724882
128004.48501253352,169321.002442619,130494.69289736016,148030.6228478973,194676.53671423683,190483.51530992094,122633.51934760311,176079.00466801375,152801.6586288933
154608.6212337131,171345.72161015082,143844.04383555133,179691.75834619996,250635.04334492498,179392.35101901676,137197.72745374954,159312.3812076331,203844.0532577861
175239.25565405414,191039.4562422723,176732.76949543523,173934.91384505623,220979.79131923162,213295.61359562847,161004.85271647613,180879.26402499902,195303.46696496548
181293.5849855347,193982.78319684442,175489.97976047677,180516.87715293228,230639.56094865233,220266.76258012245,175890.92901126808,190766.5038119015,201541.2523200943
155049.87718038633,191226.71053411555,160741.11667274212,176780.99968357102,263235.4683067592,197263.85490458788,181442.65655063238,185536.61792663625,190295.2511122494
168122.71133572535,200430.44103111603,189571.37787912242,193176.57567407936,250782.9832288137,197758.3270198255,144621.7989129526,191585.3872138415,194130.042726521
166776.86539470218,198946.27650570753,194350.69489233388,156370.78019856248,259763.6120924584,198053.3236891319,158575.89113441145,171957.66349961644,230395.70114233537
168221.756615669,188914.81194569668,183056.58322822253,179507.55836473653,260143.1823770974,198007.39117397822,152251.03290840975,171574.65206405093,201196.87816673287
156508.6950464177,203009.6008152663,197808.99790920917,201845.3658896328,271130.90149052907,208449.15558287603,173528.88694727205,154994.00732005632,199838.9467228576
159984.57384977164,202218.38467898878,201193.71468633984,204922.22871259708,260880.9466149505,212824.895732121,163355.27685681128,173647.19518766302,176648.64642491806
186789.2645816939,218303.31639274082,197191.46888901945,177955.8724378073,241467.46612505981,217708.4892054161,163488.78216886008,174152.83103254624,179375.89088681253
169248.082938949,209924.87997781238,196393.64278273654,183000.11712983387,277746.56032996875,242216.11086637023,165038.31698312622,159133.37686812095,220375.82401125005
165789.2793858055,212385.23315733712,208305.47163364105,196468.5053234127,272432.8115941139,233273.64634364052,173776.41040557745,185640.2602916838,217685.5220656587
194290.2088038542,208475.17480118468,200167.57973249644,200246.48668048915,266794.5727569332,254477.64004014392,167315.515241213,190825.45271838843,200404.79334489472
199223.6499087228,196082.97440622174,196103.59008142352,190279.0987599398,264447.37360262434,247938.21724624245,180244.97814067418,186717.3023230028,213315.8337819445
170815.30290156775,187688.42800430788,199766.12972250849,183085.99645841643,288387.81916235277,238523.04536844313,185282.4492521171,190700.94153215684,205343.12816523144
167283.06603366887,209199.81784716353,217043.23166453626,192945.88787031214,282710.7258635935,228877.56111026427,176112.39999587057,203941.38433548907,206524.47717061805
161208.84336074456,199581.0286988137,189675.22658438003,208981.5309724174,272492.89062417054,221989.73474228015,179170.92335530714,196880.52422996706,227405.7603094215
164313.9179241466,207607.4711738511,221394.2380775044,187276.378046711,258999.07799574413,218932.46832555285,181817.08446659168,186547.19005232345,222346.54012114822
157653.5776096528,194234.89385781123,210869.5146567451,199791.63883398855,264877.34392003145,206205.72862387716,199240.78841603122,200073.23828721908,201020.95905669298
163209.5296136746,221188.19387528131,205065.9466728764,168520.38879630424,234537.14140328296,197192.51457064634,208438.63347916346,214537.4690433356,206381.5503950634
159796.76630329213,220078.01507390846,207190.74909782317,185674.47576390317,256088.45028101985,211481.34787571421,185222.390849717,194178.98010615373,223710.474842693
161455.1426939763,200693.23181160341,196965.2535532249,207979.6453162511,269806.28673944314,212459.26293651218,198447.87552658643,184940.95568179063,244180.19144946113
162065.9977991361,172863.25727062963,210014.00353293892,174039.57886772655,257818.07919401184,233009.7478195295,202847.5820432136,214035.46074875476,220305.81574887238
159832.1480811424,188977.4157247706,202238.93925347948,180422.9991114282,283763.47088296234,222223.05786952164,187110.86943787866,194583.91545338734,219678.19156814058
181626.21896504992,219492.50247026148,217309.11520696947,180303.51225661946,264587.4803792471,214711.5973130009,191038.21987956573,193320.25986720168,230761.07749911264
176433.95082836278,219890.77658130505,202322.9844382666,182446.3816156922,276130.3178573975,209861.45636801954,194626.35694908482,219793.162898179,213607.31766288602
179681.29813716954,219116.71133903976,204301.9949161325,177665.8833310225,284539.11156612256,223066.31999934118,182454.25978959832,177182.03545247656,214777.83565810556
176171.9961595789,198453.87719717348,206060.7969768142,181211.71076487578,268495.24956652644,214160.82131999783,207033.1456551353,178781.21317823738,195333.7723256126
179233.55379161093,198310.22680250223,194671.67804942038,188931.35522294577,270129.67423665174,210668.90374085438,200916.6877572767,193476.5046182096,204392.2595726485
162426.5057926916,218201.01264865938,184778.41931662953,187330.12598927092,268027.9875769116,218942.81791843416,205975.46143479948,186553.2950893505,213345.75410781262
181082.3151067089,206959.68223457187,180593.79509901238,185887.0539352581,281883.8417772325,228551.6677219185,160890.08225922807,199109.61564010382,224727.25642842258
184311.38445412548,217670.05052900314,203669.48418927385,172473.24029525366,260184.72370681513,212096.33611407963,184231.5854792917,189611.22105291914,233032.44294147627
208720.57137604457,192081.04484006803,217855.48462343405,174520.06800091523,244258.4147838329,201774.838422032,193169.90122033362,187800.9218160041,212484.06115464412
206902.08026656279,192766.65903419582,206537.4032008113,159555.22564477604,268839.39722072287,194985.18153430198,204970.0669247532,203581.9387183796,221652.072038418
174705.20767383013,184490.03890979895,194055.7173411539,180157.81469247994,227016.7117576084,208718.31908808337,190693.22063849753,193615.19300604003,223793.34647434516
181906.68511481257,180306.873913062,206316.20783107757,168217.37250620875,251809.4598016225,221400.85737310932,184944.69379839636,202042.71997167595,225051.52788403098
166296.39409883332,189995.02460265384,172340.75484026034,164280.77825679805,291402.13767165627,205331.82980041418,177067.25337376338,224880.53121355007,245130.8082285829
157482.31024645516,197053.84928863336,182647.94193122757,173185.14789098024,269835.39561277843,225283.8144607387,184196.63802602823,217756.02033825856,236219.96091191893
173970.9601694705,205000.26744407174,201658.34691417095,168318.91813044634,297249.50609011686,199803.9722703875,189679.43352776387,189333.59093915074,233953.598264733
171700.0593036336,213765.94715847936,185246.1387458899,180909.8544720169,265733.76640441996,185881.55895021826,191819.30104057974,188710.98750790363,224888.03509525952
168672.73821659552,244222.2151462168,193396.79362560838,182773.51084681327,259627.4059494637,162898.93286427483,196916.73707281193,191946.26337883167,208292.38137190178
165944.05006473596,207794.55362362223,177697.37323978147,177402.7948387571,245415.05236752235,183360.2970844656,193552.63975129466,163801.70068877863,204171.17913389837
169568.32494435308,211235.19824576547,175354.7438949008,162721.19113577317,260735.18932695928,186479.42163041575,191429.30173468174,170467.3434771942,218488.75454202833
173358.28089858664,210974.41691942088,182442.5910222771,166082.5245698863,252160.95737905064,186519.96677547632,201738.9723913697,186382.45318579779,228429.4119956041
178582.66675977735,213624.27911455947,157995.07674293374,167236.58644093864,217318.8576635153,221045.89620596828,196690.8079324638,190283.72490143674,211476.36207379834
168599.5947381292,199763.1659469985,185014.53106880243,190007.35733509407,227110.156124042,217941.2083837106,192374.8966320393,155626.87744029672,207074.964540026
185642.8661940847,193542.47946142268,178377.26788493115,169900.0806790131,223928.64360191472,187490.87523477845,183786.66720034622,151858.97244852138,206741.15867478665
176061.7098435662,181720.6442362588,177921.95251043641,153456.157780934,254217.5961945274,205811.32458837508,180681.98937126462,187488.7926865029,207813.21100324532
182156.62566674248,175082.3752488499,191571.64670555078,181564.04276775423,238226.21780291,234757.86705945386,168512.21142042807,212669.5046688118,193441.19644368129
182287.57350907233,153534.62978153306,178264.7154133102,173565.72167465277,243935.51114823812,228919.0439399485,174944.39838517105,216133.06190456683,215226.50665752147
170416.7517455902,169933.0769966185,164203.51694600837,198659.99637360987,234155.5122157667,216979.96164445757,169628.80658400967,201833.65053472985,232798.12901178724
185068.67759285882,146886.22761073685,163892.8609466168,202479.1414554192,245252.96781118913,236775.49569260172,201036.2503187721,204488.12607882675,208944.24114009584
176277.16291321098,139901.26037915147,149193.19441525263,212285.13451331315,219299.35738938474,239728.25949642985,192291.9027642022,210616.6296187871,219927.12579225336
170398.6316225627,135256.12064649706,161053.4490433508,179581.66724943914,210075.67105194088,220370.37831388295,199103.89242810922,227162.56359167775,220798.13105767893
154622.61414263278,151767.8687240328,184141.34271441834,190126.38244714518,179133.75622387612,195581.56377708798,168369.68080150252,218076.37805013236,194354.84389574517
161141.11138347248,156455.5356332034,184088.4873575777,173753.41753655756,221641.71058623862,189963.1085408013,170802.4040394548,195157.10090600196,215889.277447789
159668.15531762698,159611.1017794542,189127.98402341254,192733.24538462784,223106.0973430981,196301.5875555344,144612.21314953777,190002.316551767,175390.47702657938
164932.72700872636,169079.80521580714,193893.41862818904,197739.67193903544,247687.05838507382,218326.32245415536,151802.2217573012,182016.4434583919,190600.26865427985
155052.1484614586,184554.33971691038,196303.49203054313,202967.71017960386,199174.3552645028,218603.5367861983,149900.2102151443,190579.26533716256,189326.31827196837
165343.64430673097,199348.4803477519,171857.60437365368,192349.38302431515,192923.97949095047,213383.2986732875,158352.80364955752,173379.65550420925,187811.6450840596
164680.95195875003,177287.44621431793,175831.9493949757,182635.43454658877,187580.0814185589,208821.83999058016,152066.61004008795,161731.88980255954,213481.49363308356
150127.4618974929,109081.30870599081,188025.35171693104,185928.90177851295,162217.08657664512,220163.0404847965,167901.09145339287,188786.22103360758,197370.91038758832
145598.9305197914,77247.64541220145,158386.03655276852,179429.12143523392,124630.85267115144,204713.97813533153,158089.90366578058,178030.4771312269,191852.18856531382
138495.40743021728,93343.31306828822,138271.80705448572,180353.68705142138,86351.70791401099,178821.45885000768,160898.71703816214,176167.3708923218,205708.83203346079
117818.18142931625,81358.02703753009,127061.52014062449,181829.9201007695,100914.79930036342,148559.44081152658,159773.8807740477,172713.4040089304,186630.1251092988
131821.23823632987,105828.49757684149,154725.79027806773,173977.9036651267,104810.25066076941,144237.7438444201,154602.96724964,184707.43957739562,164499.13660434616
137050.2994337037,98777.96765045634,126055.09481511425,161750.98837036878,97767.54411962397,111302.82662552326,151507.22272708916,156381.77857296902,180955.93438685554
126186.77020548693,75313.11676796876,145769.86275131884,147904.26429373104,140482.59818027646,129018.95052342184,150991.15643968014,155891.2553606064,173892.55109546595
99764.09841725552,78941.6343021175,139750.72825958475,170235.70731581072,147152.732784689,150124.73310352245,155336.97912025327,186543.91068549076,156676.9398238428
112460.7202023192,90761.29863035787,143327.11511958926,144297.98613490805,155218.5277493276,162703.41480981457,175147.67217643504,179569.75093397303,179107.10777545362
104881.24926803328,98446.19301497942,135170.51084652904,171934.36084324034,148942.22971144132,169553.49214234322,163127.32860063305,167171.911054107,150334.39386938178
115590.12006376321,104955.30564597007,136601.54246452756,175860.772865329,96711.9967937877,137447.8149582037,174092.29761114743,157483.85576081774,175128.75645326814
109049.79979917912,89564.46086389986,139471.10701805208,149035.3793260714,89729.6986485183,93468.6624647975,171273.0189279663,144756.84245455588,148711.56103032938
110049.8399363671,74301.99932448873,130875.88042202502,138974.69380964243,86683.29125704135,86463.55052220404,149996.68494743024,112920.25364786205,120187.82925901555
105324.1279162235,103303.65984582051,101756.73625707069,154209.45273275857,98345.01095969985,97643.86207020053,155003.2620117573,132079.31440404156,135558.4268023185
119731.59407474789,132600.77648712724,116892.0353926921,154648.91334803437,134230.90479157428,95849.98086609425,152425.67782286034,132662.20500914913,144082.87803290156
106053.79917271946,94792.91879758435,130142.45996465016,145383.54948705382,108427.52280975539,131564.63366503993,140665.92281771448,130995.07878025371,125315.28109916723
97393.17296493496,115336.36723489748,125985.9904354754,146443.70783589286,105151.12253954756,94076.66790699822,150004.24638075003,133737.17507406365,125760.6535924805
92497.85318707516,118561.720357901,144865.82336336054,125691.48973842926,144489.54453124086,115860.31263257163,152235.60291993737,126972.86593904255,134524.8687061673
100905.76917507905,113921.03382170697,101049.84278643459,124756.18002909054,133649.04896403622,108782.16920393528,148341.35977720606,121997.83968351541,115449.34219448577
85302.87353548594,98957.81368991581,97012.9176608556,141624.02775945573,146170.53730296632,100312.77136927558,142217.65641046944,90254.71507236233,105701.76289400425
85891.69571317703,109801.11883719827,102906.5664455271,113046.31982435974,172036.1324217798,124864.89296237052,134615.94424804757,113754.90660710426,127463.56110752904
88764.28335904871,104852.26250877781,110763.69707540853,122281.6127152141,114320.51483199015,110680.77364010953,151551.8333211666,117429.52624592792,109649.77334719649
93682.52473050356,91707.61171443632,107999.68063573098,114977.39749816274,111056.47251830458,81663.38322361889,151267.04151976097,121528.1907638853,105475.75897034962
93054.1098189166,105842.52166498938,89158.5508637067,141262.08058059713,104311.67245311121,68022.15058926061,149490.4304853337,115028.11819364493,88974.59757973198
114439.38580735962,106500.8605915261,82230.14123190762,135101.7663947239,76798.14856278543,87267.37055791242,143378.64773118118,141315.25364729922,123550.5186894359
99912.13659735181,86421.13454125979,93584.7174213283,108558.82422146176,79626.11730726852,88706.11622742511,111499.4814355335,121016.57352628923,92748.7860167761
85396.27747828205,113870.53944927818,74773.34770215244,103169.71491727504,96940.2562885632,76723.37458819368,108655.05321388812,103478.90618762704,84144.48453775141
95035.15770528928,86187.33319254815,79106.91548462195,109802.75884651295,139548.180016295,112567.85602537266,124315.9410381662,120979.80544128668,90286.87401148061
79211.31739629126,112132.2319467827,83598.4208630542,112078.94943006159,84312.34738834886,107443.46082613501,139044.87134764576,94235.52562026765,78086.74502124355
100352.52230265572,97437.20591072433,88602.03474795265,119210.40722063229,82400.65670319047,113790.71221175237,131334.58936837266,76396.50224118271,93498.78229815286
96367.52841106462,111931.35851047382,94454.66597969228,92492.88988422988,105366.94948197996,96860.49253584088,98583.79531119969,93240.96544504586,119161.32245729893
92550.22257653745,93798.44832775937,69658.0679631973,103800.29711304717,82043.11809425887,107605.95013006877,95090.91538415395,93309.82101077694,110562.53714438067
93945.90443554748,114426.29620498046,69497.50259677309,106175.35992251796,79434.32438979002,79914.28077615908,118056.78617747015,125768.0716042536,83540.93227640957
88985.85646402526,138855.9322123508,87793.54767766297,114241.24006865239,120282.42584494433,114788.79296292595,95069.55908412028,83809.7260134239,80842.89304206759
