time,veh,activation
3420,16111,1
3425,16197,1
3439,16253,1
3440,16260,1
3446,16290,1
3466,16378,1
3470,16391,1
3471,16393,1
3488,16469,1
3492,16493,1
3511,16566,1
3514,16578,1
3520,16615,1
3525,16632,1
3534,16669,1
3540,16698,1
3540,16705,1
3559,16796,1
3566,16842,1
3580,16895,1
3590,16948,1
3600,11847,1
3600,12102,1
3600,13333,1
3600,14065,1
3600,14258,1
3600,14282,1
3600,14409,1
3600,14475,1
3600,14542,1
3600,14746,1
3600,14779,1
3600,15173,1
3600,15216,1
3600,15226,1
3600,15363,1
3600,15362,1
3600,15402,1
3600,15561,1
3600,15647,1
3600,15751,1
3600,15787,1
3600,15950,1
3600,16002,1
3600,16019,1
3600,16027,1
3600,16099,1
3600,16118,1
3600,16122,1
3600,16123,1
3600,16207,1
3600,16301,1
3600,16321,1
3600,16349,1
3600,16360,1
3600,16440,1
3600,16475,1
3600,16551,1
3600,16556,1
3600,16565,1
3600,16601,1
3600,16649,1
3600,16688,1
3600,16705,1
3600,16741,1
3600,16783,1
3600,16800,1
3600,16804,1
3600,16827,1
3600,16865,1
3617,17071,1
3619,17086,1
3626,17120,1
3635,17153,1
3637,17163,1
3638,17170,1
3643,17195,1
3645,17207,1
3650,17233,1
3652,17246,1
3654,17255,1
3661,17299,1
3663,17308,1
3671,17340,1
3675,17361,1
3685,17411,1
3687,17424,1
3687,17425,1
3691,17437,1
3696,17463,1
3708,17522,1
3719,17565,1
3724,17593,1
3748,17699,1
3749,17702,1
3759,17759,1
3765,17797,1
3767,17805,1
3768,17810,1
3772,17822,1
3778,17852,1
3780,14787,1
3780,15158,1
3780,15317,1
3780,15694,1
3780,15901,1
3780,16327,1
3780,16567,1
3780,16574,1
3780,16619,1
3780,16606,1
3780,16670,1
3780,16671,1
3780,16773,1
3780,16786,1
3780,16813,1
3780,16827,1
3780,16928,1
3780,17021,1
3780,17061,1
3780,17199,1
3780,17200,1
3780,17212,1
3780,17275,1
3780,17346,1
3780,17352,1
3780,17396,1
3780,17417,1
3780,17492,1
3780,17554,1
3780,17619,1
3780,17632,1
3780,17646,1
3780,17843,1
3780,17844,1
3806,17965,1
3810,17977,1
3811,17981,1
3825,18047,1
3847,18157,1
3870,18291,1
3874,18306,1
3880,18332,1
3891,18382,1
3905,18440,1
3905,18445,1
3912,18476,1
3915,18484,1
3917,18496,1
3933,18564,1
3944,18631,1
3960,15203,1
3960,15772,1
3960,15943,1
3960,16225,1
3960,16305,1
3960,16328,1
3960,16361,1
3960,16532,1
3960,16607,1
3960,16692,1
3960,16762,1
3960,16912,1
3960,17054,1
3960,17144,1
3960,17232,1
3960,17282,1
3960,17350,1
3960,17357,1
3960,17417,1
3960,17496,1
3960,17514,1
3960,17606,1
3960,17752,1
3960,17757,1
3960,17779,1
3960,17805,1
3960,17880,1
3960,17931,1
3960,18029,1
3960,18135,1
3960,18204,1
3960,18329,1
3960,18375,1
3960,18432,1
3960,18516,1
3960,18520,1
3960,18559,1
3960,18585,1
3960,18664,1
3960,18684,1
3970,18765,1
3984,18830,1
3986,18846,1
3990,18863,1
4000,18911,1
4007,18955,1
4022,19024,1
4025,19042,1
4025,19048,1
4025,19049,1
4025,19053,1
4027,19066,1
4031,19087,1
4050,19168,1
4068,19253,1
4084,19328,1
4087,19336,1
4107,19421,1
4107,19422,1
4128,19530,1
4140,16060,1
4140,16122,1
4140,16277,1
4140,16289,1
4140,16673,1
4140,16688,1
4140,16743,1
4140,16763,1
4140,16970,1
4140,17131,1
4140,17152,1
4140,17172,1
4140,17173,1
4140,17194,1
4140,17208,1
4140,17229,1
4140,17264,1
4140,17369,1
4140,17545,1
4140,17598,1
4140,17692,1
4140,17932,1
4140,17937,1
4140,17942,1
4140,17973,1
4140,17978,1
4140,18015,1
4140,18078,1
4140,18087,1
4140,18162,1
4140,18182,1
4140,18255,1
4140,18248,1
4140,18327,1
4140,18360,1
4140,18425,1
4140,18429,1
4140,18499,1
4140,18569,1
4140,18623,1
4140,18639,1
4140,18669,1
4140,18682,1
4140,18704,1
4140,18708,1
4140,18805,1
4140,18878,1
4140,18921,1
4140,18926,1
4140,18940,1
4140,19009,1
4140,19030,1
4140,19064,1
4140,19078,1
4140,19073,1
4140,19165,1
4140,19189,1
4140,19204,1
4140,19223,1
4140,19247,1
4140,19258,1
4140,19273,1
4140,19306,1
4140,19356,1
4140,19365,1
4140,19389,1
4140,19422,1
4140,19510,1
4140,19523,1
4140,19526,1
4140,19550,1
4140,19554,1
4140,19569,1
4143,19596,1
4156,19654,1
4165,19701,1
4165,19702,1
4178,19764,1
4183,19797,1
4186,19811,1
4213,19947,1
4214,19948,1
4219,19975,1
4220,19978,1
4226,20004,1
4233,20032,1
4238,20065,1
4242,20077,1
4244,20093,1
4245,20096,1
4272,20226,1
4277,20251,1
4282,20270,1
4286,20285,1
4292,20323,1
4298,20346,1
4309,20402,1
4315,20441,1
4320,16760,1
4320,17546,1
4320,17940,1
4320,18162,1
4320,18258,1
4320,18504,1
4320,18682,1
4320,18741,1
4320,18788,1
4320,18893,1
4320,19051,1
4320,19078,1
4320,19073,1
4320,19141,1
4320,19269,1
4320,19316,1
4320,19433,1
4320,19489,1
4320,19627,1
4320,19802,1
4320,19862,1
4320,19954,1
4320,19972,1
4320,20038,1
4320,20121,1
4320,20137,1
4320,20190,1
4320,20239,1
4320,20249,1
4320,20319,1
4320,20325,1
4320,20389,1
4320,20412,1
4320,20431,1
4320,20450,1
4322,20472,1
4327,20499,1
4340,20572,1
4342,20585,1
4350,20609,1
4355,20632,1
4360,20656,1
4368,20691,1
4379,20736,1
4381,20752,1
4411,20895,1
4420,20945,1
4432,21003,1
4433,21016,1
4439,21035,1
4443,21049,1
4474,21199,1
4479,21224,1
4485,21247,1
4500,17343,1
4500,17742,1
4500,17909,1
4500,18521,1
4500,18792,1
4500,19083,1
4500,19161,1
4500,19561,1
4500,19646,1
4500,19798,1
4500,20040,1
4500,20142,1
4500,20178,1
4500,20291,1
4500,20293,1
4500,20482,1
4500,20513,1
4500,20551,1
4500,20565,1
4500,20597,1
4500,20605,1
4500,20613,1
4500,20763,1
4500,20835,1
4500,20902,1
4500,20975,1
4500,21020,1
4500,21171,1
4500,21263,1
4500,21284,1
4500,21310,1
4522,21447,1
4527,21476,1
4531,21499,1
4553,21613,1
4565,21658,1
4590,21765,1
4595,21783,1
4597,21798,1
4603,21835,1
4607,21855,1
4618,21916,1
4620,21924,1
4641,22027,1
4651,22070,1
4680,18942,1
4680,19777,1
4680,19831,1
4680,19907,1
4680,20133,1
4680,20427,1
4680,20551,1
4680,20915,1
4680,21052,1
4680,21110,1
4680,21190,1
4680,21446,1
4680,21528,1
4680,21570,1
4680,21791,1
4680,21851,1
4680,21943,1
4680,21954,1
4680,21963,1
4680,22155,1
4686,22216,1
4695,22265,1
4697,22276,1
4700,22291,1
4716,22374,1
4723,22406,1
4746,22512,1
4781,22695,1
4843,22994,1
4846,23008,1
4860,20766,1
4860,20832,1
4860,21009,1
4860,21111,1
4860,21190,1
4860,21252,1
4860,21295,1
4860,21342,1
4860,21356,1
4860,21494,1
