sensor_network
1028191.1948494103
1687659.5478180272
2281033.26798677
2801949.126616687
3285751.779552688
3782265.4046558035
4388342.110473854
4947407.290796439
5345776.11675706
5479803.738591997
5554273.312109519
5537612.97873166
5463399.955327215
5477633.77083084
5534939.799756198
5447797.119509557
5379515.594971547
5198980.975447967
5161747.545674364
4746315.13542912
4150231.873433198
3510990.3917235928
2891219.0332754515
2645581.897687353
2540527.2429969483
2624873.2694478505
2799208.6171516404
2903571.2303299843
2966389.3143665227
3008916.657437388
3010592.2884462355
3061521.92349322
3126575.5566483205
3155840.9433283634
3094313.697173663
3034995.778937734
2826339.2235885276
2587077.942950345
2364686.7421719693
2145689.642401886
1814806.196155243
1470521.7146149327
1184421.8303979277
952030.3743042365
762208.3761078311
560679.944631848
390737.1438213517
223761.26807251395
