T_OE_17_23
T_EO_17_6
T_NS_18_22
T_SN_11_22
T_OE_18_23
T_EO_18_6
T_NS_18_23
T_SN_11_23
T_OE_19_23
T_EO_19_6
T_NS_18_24
T_SN_11_24
T_OE_20_23
T_EO_20_6
T_NS_18_25
T_SN_11_25
T_OE_21_23
T_EO_21_6
T_NS_18_26
T_SN_11_26
T_OE_17_24
T_EO_17_5
T_NS_19_22
T_SN_10_22
T_OE_18_24
T_EO_18_5
T_NS_19_23
T_SN_10_23
T_OE_19_24
T_EO_19_5
T_NS_19_24
T_SN_10_24
T_OE_20_24
T_EO_20_5
T_NS_19_25
T_SN_10_25
T_OE_21_24
T_EO_21_5
T_NS_19_26
T_SN_10_26
T_OE_17_25
T_EO_17_4
T_NS_20_22
T_SN_9_22
T_OE_18_25
T_EO_18_4
T_NS_20_23
T_SN_9_23
T_OE_19_25
T_EO_19_4
T_NS_20_24
T_SN_9_24
T_OE_20_25
T_EO_20_4
T_NS_20_25
T_SN_9_25
T_OE_21_25
T_EO_21_4
T_NS_20_26
T_SN_9_26
T_OE_17_26
T_EO_17_3
T_NS_21_22
T_SN_8_22
T_OE_18_26
T_EO_18_3
T_NS_21_23
T_SN_8_23
T_OE_19_26
T_EO_19_3
T_NS_21_24
T_SN_8_24
T_OE_20_26
T_EO_20_3
T_NS_21_25
T_SN_8_25
T_OE_21_26
T_EO_21_3
T_NS_21_26
T_SN_8_26
